post_title,sku,product_id,ca_product
Tempier Bandol Migoua 2017,19820,5561,0.0
Tempier Bandol Tourtine 2017,19821,5563,0.0
Tempier Bandol Rouge 2017,15748,5564,92.4
Tempier Bandol Cabassaou 2017,19822,5565,0.0
Le Pas de l'Escalette Terrasses du Larzac Le Grand Pas 2018,16192,5566,0.0
Champagne Agrapart &amp; Fils Terroirs Brut Blanc de Blancs Grand Cru,11997,5027,0.0
Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,13914,5025,0.0
"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",14736,5700,44.5
Domaine Des Croix Savigny-Lès-Beaune 1er Cru Les Peuillets 2015,13052,4902,0.0
Saumaize-Michelin Pouilly-Fuissé Les Ronchevats 2018,15776,4888,0.0
Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,16037,4889,0.0
Saumaize-Michelin Saint-Véran 2018,16038,4890,102.0
Jacqueson Rully Blanc 1er Cru La Pucelle 2018,15807,4891,1004.4
Jacqueson Rully Rouge Les Chaponnières 2018,15952,4892,60.300000000000004
Jacqueson Rully Rouge 1er Cru Les Cloux 2018,15808,4893,83.69999999999999
Domaine Brintet Mercurey Blanc Vieilles Vignes 2018,16062,4899,190.79999999999998
Domaine Brintet Mercurey Rouge Vieilles Vignes 2018,16063,4900,20.8
Domaine Des Croix Beaune 1er Cru Les Cent Vignes 2017,14802,4901,0.0
Domaine Des Croix Corton Grand Cru Les Grèves 2017,14805,4903,0.0
Champagne Agrapart &amp; Fils Les 7 Crus Brut Blanc de Blancs,11996,5024,0.0
Domaine Des Croix Corton Charlemagne Grand Cru 2016,14220,4904,685.0
Pierre Jean Villa Saint-Joseph Rouge Tildé 2017,15296,3849,0.0
Alphonse Mellot Sancerre Blanc Edmond 2016,14395,4908,212.8
Antoine-Marie Arena Vin de France Bianco Gentile 2018,15614,4909,0.0
Antoine-Marie Arena Vin de France Rouge San Giovanni 2017,13809,4910,69.2
Jean-Baptiste Arena Patrimonio Rouge Grotte Di Sole 2018,15612,4912,155.39999999999998
Jean-Batiste Arena Muscat du Cap Corse 2015,13814,4913,0.0
Antoine-Marie Arena Patrimonio Hauts de Carco 2018,15613,4914,51.8
Jean-Baptiste Arena Patrimonio Blanc Morta Maio,15615,4915,207.2
Saumaize-Michelin Pouilly-Fuissé Clos sur la Roche 2018,15773,4886,142.0
Saumaize-Michelin Mâcon Vergisson Sur La Roche 2017,14981,4885,0.0
Tempier Bandol Rosé 2019,16289,4876,501.6
Triennes IGP Méditerranée Rosé 2019,16149,4870,306.90000000000003
Maurice Schoech Pinot Auxerrois Vieilles Vignes 2018,15448,4785,10.1
Maurice Schoech Gewurztraminer 2018,15881,4786,0.0
Maurice Schoech Pinot Gris 2018,15731,4788,36.900000000000006
Maurice Schoech Pinot Noir 2018,15316,4789,22.2
Maurice Schoech Riesling 2018,15732,4790,0.0
Maurice Schoech Pinot Noir Pièce de Chêne 2016,14599,4791,0.0
Maurice Schoech Riesling Grand Cru Kaefferkopf 2018,15733,4792,399.0
Maurice Schoech Pinot Gris Grand Cru Schlossberg 2017,15730,4793,0.0
Maurice Schoech Riesling Grand Cru Rangen de Thann 2014,12771,4794,0.0
Emile Boeckel Crémant Brut Rosé,3568,4795,120.0
Domaine Peyre Rose Clos des Cistes 2008,14506,4797,0.0
Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,15811,4799,44.7
Château Turcaud Bordeaux Rosé 2019,16342,4858,6.5
Philippe Nusswitz Duché d'Uzès Orénia Rosé 2019,16292,4860,95.69999999999999
Philippe Nusswitz Duché d'Uzès Orénia Rouge 2017,15307,4861,246.5
Philippe Nusswitz Duché d'Uzès Orénia Blanc 2018,16047,4862,118.80000000000001
Château Ollieux Romanis Corbières Rosé Classique 2019,16255,4863,32.8
Mourgues du Grès Costières de Nîmes Capitelles Rosé 2018,16274,4865,127.4
Château De La Selve IGP Coteaux de l'Ardèche Maguelonne Rosé 2019,16148,4867,9.9
Alain Graillot Crozes-Hermitage Rouge La Guiraude 2016,15533,4918,892.8000000000001
Alain Graillot Crozes-Hermitage Rouge 2017,15531,4919,146.39999999999998
Alain Graillot Crozes-Hermitage Blanc 2018,15530,4920,244.0
Champagne Larmandier-Bernier Terre de Vertus Premier Cru 2011,11225,4970,0.0
Château Cordet Margaux 2013,14756,4975,94.8
Château Lafont Menaut Pessac-Leognan Rouge 2017,16005,4976,65.8
Château Lafont Menaut Pessac-Leognan Blanc 2017,14930,4977,48.900000000000006
Château Dutruch Grand Poujeaux Moulis 2016,13313,4978,0.0
Château La Tour l'Aspic Pauillac 2014,15229,4980,0.0
Domaine Peyre Rose Syrah Léone 2008,14507,4994,0.0
Domaine Peyre Rose Oro Blanc 2002,14509,4995,0.0
Domaine Peyre Rose Marlène N°3 2008,14508,4996,0.0
David Duband Côtes de Nuits Villages 2017,15868,5000,163.8
David Duband Charmes-Chambertin Grand Cru 2014,14581,5001,0.0
David Duband Morey-Saint-Denis 1er Cru Les Broc 2016,14580,5002,0.0
David Duband Morey-Saint-Denis 2017,15869,5003,0.0
David Duband Vosne Romanée 2017,15871,5004,118.8
David Duband Nuits-Saint-Georges 2017,15870,5006,0.0
Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014,12791,5007,0.0
Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,11602,5008,0.0
Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017,15073,5010,0.0
Château Tour Des Gendres Bergerac Blanc Cuvée Des Conti 2017,14839,5016,27.900000000000002
Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,14696,5019,0.0
Château du Couvent Pomerol 2017,16004,4974,115.0
Château Turcaud Entre-Deux-Mers 2019,16586,4965,184.6
Cave de Castelmaure Corbières Rouge Vigneron 2018,15928,4923,70.0
Château Turcaud Bordeaux Rouge Cuvée Majeure 2018,16515,4964,72.6
Cave de Castelmaure Corbières Rouge Grande Cuvée 2017,16276,4924,0.0
Cave de Castelmaure Corbières Rouge N°3 2017,16277,4925,278.4
Domaine La Croix Belle Côtes de Thongue Blanc Champ des Lys 2018,15456,4926,0.0
Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018,15425,4927,26.0
Domaine La Croix Belle Côtes de Thongue Rouge Le Champ du Coq 2016,15047,4928,39.5
Domaine La Croix Belle Côtes de Thongue Rouge N°7 2017,15927,4929,33.4
Domaine La Croix Belle Côtes de Thongue Blanc N°7 2018,16155,4930,87.5
Marcel Richaud Cairanne Rouge L'Ebrescade 2017,16280,4931,0.0
Marcel Richaud Cairanne Rouge Les Estrambords 2011,9937,4932,102.8
Marcel Richaud Cairanne Rouge 2018,16281,4933,0.0
Marcel Richaud Rasteau Rouge 2017,15554,4934,44.4
Domaine Rouge Garance Côtes du Rhône Blanc De Garance 2018,15106,4936,122.1
Domaine Rouge Garance Côtes du Rhône Feuille de Garance 2019,16283,4937,39.6
Domaine Rouge Garance Côtes du Rhône Villages Garances 2016,13379,4938,0.0
Oratoire Saint Martin Cairanne Blanc Réserve des Seigneurs 2018,15338,4939,0.0
